user_id,installed_at,channel,ab_group,ab_eligible,registered,opened_menu,built_cart,entered_address,first_order
1,2025-04-15 15:00:00,Реферальная программа,control,False,False,False,False,False,False
2,2025-04-18 15:00:00,Таргетированная реклама,control,False,False,False,False,False,False
3,2025-04-16 22:00:00,Органический поиск,control,False,True,True,True,True,False
4,2025-04-25 19:00:00,Таргетированная реклама,control,False,True,False,False,False,False
5,2025-04-22 16:00:00,Таргетированная реклама,control,False,True,True,True,False,False
6,2025-04-11 22:00:00,Таргетированная реклама,control,False,False,False,False,False,False
7,2025-04-14 10:00:00,Таргетированная реклама,control,False,True,True,False,False,False
8,2025-04-26 09:00:00,Таргетированная реклама,control,False,False,False,False,False,False
9,2025-04-26 16:00:00,Реферальная программа,control,False,True,True,True,False,False
10,2025-04-04 07:00:00,Контекстная реклама,control,False,True,True,True,True,True
11,2025-04-14 07:00:00,Контекстная реклама,control,False,True,True,True,True,True
12,2025-04-05 15:00:00,Telegram (локальные каналы),control,False,False,False,False,False,False
13,2025-04-30 14:00:00,Контекстная реклама,control,False,True,True,False,False,False
14,2025-04-25 21:00:00,Контекстная реклама,control,False,False,False,False,False,False
15,2025-04-25 17:00:00,Контекстная реклама,control,False,True,True,True,False,False
16,2025-04-14 15:00:00,Реферальная программа,control,False,True,True,True,True,True
17,2025-04-08 14:00:00,Контекстная реклама,control,False,False,False,False,False,False
18,2025-04-12 10:00:00,Контекстная реклама,control,False,True,True,True,True,True
19,2025-04-30 07:00:00,Telegram (локальные каналы),control,False,True,True,True,False,False
20,2025-04-03 10:00:00,Telegram (локальные каналы),control,False,True,True,True,True,True
21,2025-04-30 18:00:00,Таргетированная реклама,control,False,False,False,False,False,False
22,2025-04-27 10:00:00,Контекстная реклама,control,False,True,True,False,False,False
23,2025-04-22 12:00:00,Таргетированная реклама,control,False,True,True,False,False,False
24,2025-04-15 07:00:00,Таргетированная реклама,control,False,False,False,False,False,False
25,2025-04-19 20:00:00,Реферальная программа,control,False,True,True,False,False,False
26,2025-04-20 09:00:00,Таргетированная реклама,control,False,True,True,True,False,False
27,2025-04-17 11:00:00,Реферальная программа,control,False,True,True,True,True,True
28,2025-04-29 21:00:00,Таргетированная реклама,control,False,True,True,True,False,False
29,2025-04-06 15:00:00,Таргетированная реклама,control,False,True,True,False,False,False
30,2025-04-29 20:00:00,Таргетированная реклама,control,False,True,True,True,False,False
